sentiment,text,clean_teks
negative,"kenapa pada boikot <PROVIDER_NAME> ya #Boikot<PROVIDER_NAME> mungkin karena sering menyedot pulsa ga tau dipake apa, sms 1 bayar 1000 cuma buat bonus maksa",boikot ya sedot pulsa tau pakai sms bayar bonus maksa
positive,"Buka puasa sambil streaming di YouTube lancar banget pakai <PROVIDER_NAME>, jadi makin setia sama <PROVIDER_NAME>.",buka puasa streaming youtube lancar banget pakai setia
positive,Koneksi internet <PROVIDER_NAME> yang lancar sangat  membantu saya dalam menyelesaikan pekerjaaan di hari Jumat sebelum weekend.,koneksi internet lancar bantu selesai pekerjaaan jumat weekend
negative,<PROVIDER_NAME> kamu kenapa sinyalnya php <PROVIDER_NAME>,sinyal php
negative,Koneksi internet yang sangat menjengkelkan. <PROVIDER_NAME>  #lemot ,koneksi internet jengkel
positive,"<PROVIDER_NAME> Nelpon lebih murah pake JS, kurang dari Rp1/detik. <PROVIDER_NAME> <PRODUCT_NAME> <PRODUCT_NAME>",telpon murah pakai js rp detik
positive,"Terima kasih PT <PROVIDER_NAME> , kiriman GRATIS <PROVIDER_NAME> Home-nya sudah tiba.",terima kasih pt kirim gratis home nya
positive,Kualitas sinyal 4G <PROVIDER_NAME> ikut melengkapi meriahnya festival tersebut. ,kualitas sinyal lengkap riah festival
positive,saya pindah ke <PROVIDER_NAME> yang memang sudah terbukti,pindah bukti
negative,Ini sinyal H+ palsu. Seperti H+ rasa edge. <PROVIDER_NAME> <PROVIDER_NAME> ,sinyal h palsu h edge
negative,Pelanggan <PROVIDER_NAME> <PROVIDER_NAME> yg ada di area #Pandeglangkota dirugikan krn jaringan telponnya rusak dan tidak diperbaiki,langgan area rugi jaring telpon rusak baik
negative, Hati-hati Tukang Tipu!! <PROVIDER_NAME>,hati hati tukang tipu
negative,Sedih. Pakai <PROVIDER_NAME> 4G gak stabil.,sedih pakai stabil
negative,Jarigan <PROVIDER_NAME> lelet. Karena gangguan atau rusak ya,jarigan lelet ganggu rusak ya
negative,"Daerah Jagakarsa, pakai <PROVIDER_NAME> sinyalnya jelek, yang satu H+ gak dapat 4G, yang satu dapat 4G tapi gak ada sinyal?",daerah jagakarsa pakai sinyal jelek h sinyal
negative,<PROVIDER_NAME> cacat,cacat
positive,Ini baru #koneksi #internet #4g <PROVIDER_NAME> <URL> ,
positive,<PROVIDER_NAME> BagiBerkah ...gak ada kata susah ..cukup sekali sentuh jadi mudah dan berfaedah,bagiberkah susah sentuh mudah faedah
negative,<PROVIDER_NAME> tumbang di kota Semarang,tumbang kota semarang
negative,Kuotaku masih banyak internetan aja gak bisa <PROVIDER_NAME> <PROVIDER_NAME>Care <PROVIDER_NAME> ,kuota internetan care
negative,Selalu Lemot <PROVIDER_NAME>,lot
positive,<PROVIDER_NAME> BerbagiBerkah karena berbagi itu menyenangkan apalagi sama orang yang kita sayangi.,berbagiberkah bagi senang orang sayang
positive,Santai pakai <PROVIDER_NAME> <PROVIDER_NAME>4G <PROVIDER_NAME>BagiBerkah bisa diandalkan,santai pakai bagiberkah andal
positive,banyak yang masih setia memggunakan <PROVIDER_NAME>,setia memggunakan
positive,"Yang saya pengen <PROVIDER_NAME> selangkah lebih maju dari yang lain baik layanan ataupun jaringan 3G atau 4G,",selang maju layan jaring
positive,Yuk pakai <PROVIDER_NAME> Rp1 gratis 1GB,yuk pakai rp gratis gb
positive,Lebaran tetap pakai <PROVIDER_NAME> yaa #Rp1 gratis 1GB,lebaran pakai ya gratis gb
positive,sinyal 4G <PROVIDER_NAME> dipalembang lancar,sinyal dipalembang lancar
positive,Keren di rembang ada sinyal 4G <PROVIDER_NAME>,keren rembang sinyal
positive,sinyal <PROVIDER_NAME> kuat banget,sinyal kuat banget
positive,4G <PROVIDER_NAME> dapat banget disini,banget
positive,"Berkat <PROVIDER_NAME> mudiknya jd nyaman,mampir ke posko pun senang..",berkat mudik nyaman mampir posko senang
positive,Terimakasih <PROVIDER_NAME>,terimakasih
positive,untungnya sudah pakai <PROVIDER_NAME>,untung pakai
positive,Alhamdulillah masih #setia dengan <PROVIDER_NAME>.. terbaik,alhamdulillah baik
positive,"<PROVIDER_NAME> memang jauh lebih murah dari <PROVIDER_NAME>, banyak bonusnya lagi",murah bonus
negative,RT <USER_MENTION>: Buat <PROVIDER_NAME> setelah kuota habis saya mau ganti provider  ,rt kuota habis ganti provider
negative,<PROVIDER_NAME> memang jancok! sinyal payah,jancok sinyal payah
negative,saya paling tidak pernah pakai  <PROVIDER_NAME>,pakai
negative,RT <USER_MENTION>: Belum ada permintaan maaf dan pernyataan apapun?  Lanjut boikot <PROVIDER_NAME> #Boikot<PROVIDER_NAME> <URL>,rt minta maaf nyata apa boikot
negative,<PROVIDER_NAME> masa kuota malam saya sudah habis duluan? Logikanya dimana? <URL>,kuota malam habis duluan logika mana
negative,"RT <USER_MENTION>: <PROVIDER_NAME> ini <PROVIDER_NAME> di sini jaringan 4G nya penuh, cuma ga mau konek ke internet...",rt jaring nya penuh konek internet
positive,Sinyal 4g nya stabil nih. mantap <PROVIDER_NAME> <URL>,sinyal nya stabil nih mantap
negative,"Fungsinya data lokal, 4G sama Flash apa? Toh mau 4G atau 3G yang terpakai duluan data lokalnya. mahal lagi. <PROVIDER_NAME>",fungsi data lokal flash pakai duluan data lokal mahal
positive,"Hore, dapat makan malam gratis hari ini karena <PROVIDER_NAME> Poin  #7eleven #sevel <PROVIDER_NAME>… <URL>",hore makan malam gratis poin
negative,"Wajar saja <PROVIDER_NAME> dihack, harga mahal banget dan koneksi lambat lagi <PROVIDER_NAME>mahal <PROVIDER_NAME> ",wajar dihack harga mahal banget koneksi lambat mahal
positive,*ganti* paket <PROVIDER_NAME>  5Gb langsung lancar dan #TransaksiNormal,ganti paket gb langsung lancar
negative,Selalu saja ada masalah #Indonesia <PROVIDER_NAME> #konsumen <USER_MENTION>,
positive,Alhamdulillah gratisan youtube dari <PROVIDER_NAME> pada bulan Ramadhan ini berfaedah sekali.,alhamdulillah gratis youtube ramadhan faedah
negative,<PROVIDER_NAME> KENAPA. sinyal hilang mulu,sinyal hilang mulu
negative,Data yang sama sekali tidak ada manfaatnya.  <PROVIDER_NAME> <URL> …,data manfaat
negative,<PROVIDER_NAME> goblok banget sih sekarang <PROVIDER_NAME> #jadimurahan ,goblok banget sih
negative,Padahal udah settingan 3G tapi kenapa kuota 3G tidak bisa dipakai malah menguras pulsa yaa? #Tanya <PROVIDER_NAME>,settingan kuota pakai uras pulsa ya
negative,Sudah mahal sinyalnya jelek lagi... <PROVIDER_NAME> bangsat anjing...,mahal sinyal jelek bangsat anjing
negative,Jeleknya jaringan internet. <PROVIDER_NAME>,jelek jaring internet
negative,Cuma di area Pandeglang kota.. jaringan <PROVIDER_NAME> buruk jelek. Kejadian ini sudah berlangsung sebulan lamanya. <PROVIDER_NAME>Care <PROVIDER_NAME>payah <PROVIDER_NAME> harus dihack,area pandeglang kota jaring buruk jelek jadi bulan care payah dihack
negative,"benar2 kacau. Baru isi kuota, datanya langsung habis. <PROVIDER_NAME> ",kacau isi kuota data langsung habis
positive,<PROVIDER_NAME> ayo kamu bisa,ayo
positive,Mending ngopi nyantai sambil dengar musik klasik di youtube gratis dari jaringan <PROVIDER_NAME> yang keren,mending ngopi nyantai dengar musik klasik youtube gratis jaring keren
positive,ada banyak fitur  dari Kartu Perdana <PROVIDER_NAME> yg udah 4.5G <PROVIDER_NAME>Youtube1tahun <PROVIDER_NAME>_Jabo <USER_MENTION>,fitur kartu perdana youtube jabo
positive,"Hari minggu masuk kerja tapi gak ada yang dikerjain, ujung2nya mencari lapak terus rebahan sambil denger musik di youtube. <PROVIDER_NAME> top deh",minggu masuk kerja dikerjain ujung nya cari lapak rebah dengar musik youtube top deh
positive,Sekarang enak belanja online. Sinyal kuat dan kencang pakai <PROVIDER_NAME>. ,enak belanja online sinyal kuat kencang pakai
positive,Mantap! Paket <PRODUCT_NAME> dari <PROVIDER_NAME> bikin mupeng. Banyak <PRODUCT_NAME>nya! ,mantap paket bikin muka pengin nya
positive,Selain bonus THR dapat bonus dari <PROVIDER_NAME> yang begini nih yang bikin hati senang juga.. ,bonus thr bonus nih bikin hati senang
positive,"Pagi ini saya sahur di Purwakarta, dan disini sinyal <PROVIDER_NAME> nya bagus banget",pagi sahur purwakarta sinyal nya bagus banget
positive,"Astaga udah sore aja. Keasyikan main hape. Sinyal lancar, hebat emang <PROVIDER_NAME>",astaga sore asyik main hp sinyal lancar hebat
positive,"Kadang, saya juga cari referensi di youtube yang merupakan gudang informasi keren. <PROVIDER_NAME> youtube an tanpa kuota bisa streaming lancar",kadang cari referensi youtube gudang informasi keren youtube an kuota streaming lancar
positive,belajar mengedit video di youtube jadi enak dan cepat paham kalo jaringan <PROVIDER_NAME> lancar dan kencang begini.,ajar edit video youtube enak cepat paham jaring lancar kencang
positive,"Tethering pakai kartu <PROVIDER_NAME> sinyalnya kencang badai, apalagi kalau lagi browsing"" mencari bahan artikel. Dijamin lancar.",tethering pakai kartu sinyal kencang badai browsing cari bahan artikel jamin lancar
negative,Saya tidak akan pernah pakai produk <PROVIDER_NAME>!!! boikot <PROVIDER_NAME> #Boikot<PROVIDER_NAME>,pakai produk boikot
negative,Ayo yang masih pakai kartu <PROVIDER_NAME> Segera buang ke Got ya,ayo pakai kartu buang got ya
negative,#Boikot<PROVIDER_NAME>..saatnya hijrah ke ..selamat tinggal <PROVIDER_NAME>..,hijrah selamat tinggal
positive,Alhamdulillah Kuota <PROVIDER_NAME> banyak yang murah,alhamdulillah kuota murah
negative,"Sudah tarifnya paling mahal, ditambah jaringan yang semakin hari semakin susah! <PROVIDER_NAME> mengesalkan banget ",tarif mahal tambah jaring susah kesal banget
negative,"<PROVIDER_NAME> Pulsanya masih ada, TM masih banyak, mau nelpon ke sesama simpati katanya pulsa gak cukup, kampret ini <PROVIDER_NAME> ",pulsa tm telpon simpati pulsa kampret
positive,Tiba-tiba ada sinyal 4g di rumahku.  Biasanya gak ada.. lancar juga. <PROVIDER_NAME>,sinyal rumah lancar
negative,"Tadinya berharap paling bagus untuk kerja online,Ternyata internetnya tidak seSimpati namanya <PROVIDER_NAME> <URL>",harap bagus kerja online internetnya simpat nama
negative,Jaringan internet <PROVIDER_NAME> di sumba timur parah....,jaring internet sumba timur parah
negative,Kualitas jaringan <PROVIDER_NAME> sangat menurun di wilayah Sukabumi.,kualitas jaring turun wilayah sukabumi
negative,Ternyata tidak cuma saya yang mengeluh karena sinyal atau pelayanan <PROVIDER_NAME> dalam jaringan internet masih kurang,keluh sinyal layan jaring internet
negative,"Sudah tengah malam, jaringan kok masih super lelet <PROVIDER_NAME> gak berkualitas",malam jaring super lelet kualitas
negative,Sinyal <PROVIDER_NAME> yang sangat menyedihkan,sinyal sedih
negative,<PROVIDER_NAME> makin bangsat kalau dibiarin,bangsat biar
negative,<PROVIDER_NAME> memang bangsat gemas duh,bangsat gemas duh
negative,Signal <PROVIDER_NAME> Mentari makin lama makin memprihatinkan. Saatnya memikirkan untuk ganti kartu. Kecewa <PROVIDER_NAME>,sinyal mentari prihatin pikir ganti kartu kecewa
negative,<PROVIDER_NAME> apakah <PROVIDER_NAME> lagi gangguan di daerah kramat jati? Sumpah sudah lelet banget padahal sudah 4g ,ganggu daerah kramat jati sumpah lelet banget
negative,"<PROVIDER_NAME> kenapa <PROVIDER_NAME> super lelet? 4g tp kecepatan 0,1 1 kb/s. gangguan atau gimana sih? ",super lelet cepat kb si ganggu sih
negative,tai <PROVIDER_NAME>,tahi
negative,"Ya allah. Kalau hujan sinyal <PROVIDER_NAME> kaya lagunya Kotak ""Pelan Pelan Saja""",ya allah hujan sinyal kayak lagu kotak pelan pelan
negative,bikin kelar <PROVIDER_NAME> ,bikin kelar
negative,<PROVIDER_NAME> Hooq sangat tidak bermanfaat. Beli kuota bisa menonton di youtube gak perlu Hooq #rugi <PRODUCT_NAME> #kuota <PROVIDER_NAME> ,hooq manfaat beli kuota tonton youtube hooq
negative,<PROVIDER_NAME>  Di daerahku udah 3 hari  trouble mulu,daerah trouble mulu
negative,"sisa 2 hari kuota <PROVIDER_NAME> <PROVIDER_NAME> tapi sudah dibilang habis, gimana ini!",sisa kuota bilang habis
negative,Jaringan simpati anjir banget akhir2 ini. <PROVIDER_NAME>,jaring simpati anjir banget
negative,Dan terjadi lagi <PROVIDER_NAME> tai,tahi
positive,Untung pakai <PROVIDER_NAME> walaupun jauh dari rumah tapi Alhamdulillah semua urusan beres.,untung pakai rumah alhamdulillah urus beres
negative,jaringan <PROVIDER_NAME> flash untuk daerah aceh singkil kok gak stabil <PROVIDER_NAME>,jaring flash daerah aceh singkil stabil
negative,<PROVIDER_NAME> tarif mahal dengan sinyal parah.,tarif mahal sinyal parah
negative,"Jadi, sudah seminggu ini saya digangguin sama bunyi SMS dari <PROVIDER_NAME>. Ada promo, katanya.… <URL> ",minggu digangguin bunyi sms promo
negative,Oh jariangan kenapa <PROVIDER_NAME>,oh jariangan
negative,Tiap jam 12 malam ke atas hancur koneksinya <PROVIDER_NAME>,jam malam hancur koneksi
negative,Sedih saya kalau beli paket internet <PROVIDER_NAME>,sedih beli paket internet
positive,Hobi ngecek <PRODUCT_NAME> kali aja ada promo kuota internet buat penguna setia <PROVIDER_NAME> ternyata ada. Alhamdulillah rejeki anak biasa,hobi ecek kali promo kuota internet guna setia alhamdulillah rejeki anak
negative,<PROVIDER_NAME> setelah dihack malah tambah mahal,dihack mahal
negative,Jaringan lelet <PROVIDER_NAME>,jaring lelet
negative,<PROVIDER_NAME> lagi gangguan ya??,ganggu ya
negative,<PROVIDER_NAME> hancur jaringannya,hancur jaring
negative,Setiap isi pulsa belum dipakai pasti hilang mohon pejelasannya buat <PROVIDER_NAME>,isi pulsa pakai hilang mohon jelas
negative,<PROVIDER_NAME> memang bikin sebal ,bikin sebal
negative,4G LTE <PROVIDER_NAME> sedang bermasalah,lte masalah
negative,<PROVIDER_NAME> luar biasa parah 2 hari cuma buang2 kuota... payah <PROVIDER_NAME> <PROVIDER_NAME> <PROVIDER_NAME>,parah buang kuota payah
positive,koneksinya makin lancar pakai <PROVIDER_NAME> ,koneksi lancar pakai
positive,pakai sinyal <PROVIDER_NAME> lancar. <PROVIDER_NAME> memang yess!! ,pakai sinyal lancar yess
positive,"Data-data kerja jadi lebih cepat dicari kalau internetnya pakai <PROVIDER_NAME>,",data data kerja cepat cari internetnya pakai
positive,"<PROVIDER_NAME> memang juara, dari tadi nonton Youtube kuota masih full aja XD",juara tonton youtube kuota full xd
positive,Kenikmatan yang bisa didapatkan saat menjadi pengguna <PROVIDER_NAME> adalah menonton youtube gratis selama setahun,nikmat dapat guna tonton youtube gratis tahun
positive,Upload file yang besar juga sangat mudah dengan <PROVIDER_NAME>. Karena jaringan internetnya sangat cepat. Alhamdulillah,upload file mudah jaring internetnya cepat alhamdulillah
positive,"Untungnya pake <PROVIDER_NAME>, pekerjaan gua lancar :))",untung pakai kerja lancar
positive,Siang ini nyoba bonus telpon pakai kartu <PROVIDER_NAME> baru. Aman lancar jaya suaranya meski cuaca hujan.,siang coba bonus telepon pakai kartu aman lancar jaya suara cuaca hujan
positive,"Pantesan lancar ya, sinyal <PROVIDER_NAME> yang 4G lancar sekali di lombok timur",pantesan lancar ya sinyal lancar lombok timur
positive,Alhamdulillah lancar pakai <PROVIDER_NAME>,alhamdulillah lancar pakai
positive,"Untung pakai internet <PROVIDER_NAME>, lancar, jadi dapat banyak ide.",untung pakai internet lancar ide
positive,"di tempat ramai seperti di lokasi wisata, <PROVIDER_NAME> tetap jaya.",ramai lokasi wisata jaya
negative,Sinyal <PROVIDER_NAME> amsyong d stadion gajayana,sinyal amsyong stadion gajayana
